approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
US,0,0.012894019484519958,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 692.00 and arr_delay = -22.00 and origin = 'ABE' and dest = 'ATL';
",100
US,1,0.0108741894364357,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 158.00 and arr_delay = 1.00 and origin = 'ABI' and dest = 'DFW';
",100
US,2,0.01011698693037033,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 277.00 and arr_delay = -13.00 and origin = 'ABQ' and dest = 'AMA';
",100
US,3,0.010504499077796936,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 257.00 and arr_delay = -27.00 and origin = 'ABR' and dest = 'MSP';
",100
US,4,0.011222928762435913,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 91.00 and arr_delay = -23.00 and origin = 'ACK' and dest = 'BOS';
",100
US,5,0.01150553673505783,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 159.00 and arr_delay = -24.00 and origin = 'ACT' and dest = 'IAH';
",100
US,6,0.010910920798778534,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 56.00 and arr_delay = -34.00 and origin = 'ACV' and dest = 'CEC';
",100
US,7,0.010382071137428284,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 542.00 and arr_delay = -7.00 and origin = 'ACY' and dest = 'CVG';
",100
US,8,0.010143697261810303,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 914.00 and arr_delay = -85.00 and origin = 'ADK' and dest = 'AKN';
",100
US,9,0.011230677366256714,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 253.00 and arr_delay = -18.00 and origin = 'ADQ' and dest = 'ANC';
",100
US,10,0.0104454904794693,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 426.00 and arr_delay = 70.00 and origin = 'AEX' and dest = 'ABI';
",100
US,11,0.011012330651283264,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 140.00 and arr_delay = -8.00 and origin = 'AGS' and dest = 'CLT';
",100
US,12,0.010861337184906006,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 71.00 and arr_delay = -25.00 and origin = 'AKN' and dest = 'DLG';
",100
