approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
US,38,0.010861903429031372,17.695473251028808,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 287.00 and arr_delay = 5.00 and origin = 'BOI';
",100
US,39,0.011179149150848389,85.87360594795538,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 274.00 and arr_delay = 32.00 and origin = 'BOS';
",100
US,40,0.009841427206993103,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 982.00 and arr_delay = 26.00 and origin = 'BQN';
",100
US,41,0.010338522493839264,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 153.00 and arr_delay = -39.00 and origin = 'BRD';
",100
US,42,0.010844141244888306,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 503.00 and arr_delay = -21.00 and origin = 'BRW';
",100
US,43,0.009708024561405182,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 985.00 and arr_delay = 19.00 and origin = 'BTR';
",100
US,44,0.010116547346115112,400.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 408.00 and arr_delay = 9.00 and origin = 'BTV';
",100
US,45,0.00999220460653305,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 317.00 and arr_delay = 36.00 and origin = 'BUF';
",100
US,46,0.01005128026008606,22.54901960784314,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 325.00 and arr_delay = 3.00 and origin = 'BUR';
",100
US,47,0.010875821113586426,27.385892116182575,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 288.00 and arr_delay = 6.00 and origin = 'BWI';
",100
US,48,0.01141589879989624,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 65.00 and arr_delay = 143.00 and origin = 'BZN';
",100
US,49,0.01049814373254776,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 95.00 and arr_delay = 30.00 and origin = 'CAE';
",100
US,50,0.010508164763450623,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 396.00 and arr_delay = 22.00 and origin = 'CAK';
",100
US,51,0.010841034352779388,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 213.00 and arr_delay = -30.00 and origin = 'CDV';
",100
US,52,0.010725021362304688,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 304.00 and arr_delay = 7.00 and origin = 'CEC';
",100
US,53,0.01053127646446228,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 271.00 and arr_delay = 24.00 and origin = 'CHA';
",100
US,54,0.010861590504646301,78.57142857142857,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 220.00 and arr_delay = 13.00 and origin = 'CHS';
",100
US,55,0.011292003095149994,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 208.00 and arr_delay = 107.00 and origin = 'CID';
",100
US,56,0.011527642607688904,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 86.00 and arr_delay = 10.00 and origin = 'CLD';
",100
US,57,0.009790584444999695,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 604.00 and arr_delay = 18.00 and origin = 'CLE';
",100
US,58,0.010334551334381104,14.285714285714285,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 92.00 and arr_delay = 35.00 and origin = 'CLT';
",100
US,59,0.010531865060329437,72.41379310344827,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 112.00 and arr_delay = 27.00 and origin = 'CMH';
",100
US,60,0.010092690587043762,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 538.00 and arr_delay = 20.00 and origin = 'COS';
",100
US,61,0.010473132133483887,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 187.00 and arr_delay = 16.00 and origin = 'CRP';
",100
US,62,0.011362791061401367,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 164.00 and arr_delay = 52.00 and origin = 'CRW';
",100
